episode,reward,success_rate
1,-19.03055438399315,0
2,-1.91924250125885,1
3,-27.64565859735012,0
4,-16.11268101632595,0
5,-0.8893041424453259,1
6,-22.503996446728706,0
7,-15.812799729406834,0
8,-13.700194716453552,0
9,-28.400787830352783,0
10,-23.829808965325356,0
11,-22.327740974724293,0
12,-0.18441585823893547,1
13,-21.676762893795967,0
14,-29.55196949839592,0
15,-11.955559231340885,0
16,-25.22570164501667,0
17,-30.168749026954174,0
18,-28.69153583049774,0
19,-22.604833588004112,0
20,-2.555344171822071,1
21,-26.48298117518425,0
22,-0.8150650039315224,1
23,-1.0487286411225796,1
24,-29.152275264263153,0
25,-28.12518261373043,0
26,-24.81509567052126,0
27,-0.28783199563622475,1
28,-25.92396555840969,0
29,-15.579892002046108,0
30,-0.2349441796541214,1
31,-22.91731709241867,0
32,-20.72829858958721,0
33,-34.24273892492056,0
34,-29.46214757859707,0
35,-24.790354877710342,0
36,-18.60582361370325,0
37,-0.30827685818076134,1
38,-25.011687457561493,0
39,-17.97258658707142,0
40,-20.02759612351656,0
41,-13.680160336196423,0
42,-19.39447918534279,0
43,-17.625001937150955,0
44,-22.531207159161568,0
45,-17.630454815924168,0
46,-23.921670377254486,0
47,-23.41903790831566,0
48,-29.618541717529297,0
49,-26.509667813777924,0
50,-18.89445598423481,0
51,-26.60174997150898,0
52,-23.72920874878764,0
53,-28.71055006980896,0
54,-17.476653829216957,0
55,-0.5004916973412037,1
56,-18.97238563001156,0
57,-24.35040532797575,0
58,-21.840479031205177,0
59,-18.798266664147377,0
60,-16.911067709326744,0
61,-15.364430956542492,0
62,-31.020060524344444,0
63,-26.57210546731949,0
64,-26.729474440217018,0
65,-16.783448457717896,0
66,-21.620327472686768,0
67,-23.615889444947243,0
68,-0.18891309946775436,1
69,-25.531034022569656,0
70,-20.128547683358192,0
71,-12.357579372823238,0
72,-26.326709538698196,0
73,-22.975009366869926,0
74,-26.428167328238487,0
75,-13.568174675107002,0
76,-23.87964455783367,0
77,-20.086195930838585,0
78,-21.447605028748512,0
79,-17.201816700398922,0
80,-11.793300874531269,0
81,-21.989341244101524,0
82,-17.4980146586895,0
83,-24.9639243632555,0
84,-0.1038573794066906,1
85,-28.86774431169033,0
86,-22.249525159597397,0
87,-15.803784094750881,0
88,-15.432138115167618,0
89,-23.20515362918377,0
90,-17.279069915413857,0
91,-20.57615178823471,0
92,-9.258211925625801,0
93,-31.475256472826004,0
94,-11.664301082491875,0
95,-13.970178410410881,0
96,-15.151537463068962,0
97,-13.006018534302711,0
98,-21.698016330599785,0
99,-8.63430218398571,0
100,-19.779895901679993,0
101,-27.383461892604828,0
102,-23.305166587233543,0
103,-25.568548634648323,0
104,-16.87733842805028,0
105,-18.23161879181862,0
106,-0.11476630717515945,1
107,-18.505138993263245,0
108,-22.428605645895004,0
109,-11.403482086956501,0
110,-0.5552149750292301,1
111,-10.793386422097683,0
112,-17.74960269033909,0
113,-20.719862535595894,0
114,-0.3891196697950363,1
115,-26.377417862415314,0
116,-17.75742633640766,0
117,-19.568781942129135,0
118,-18.862841926515102,0
119,-19.991433307528496,0
120,-15.45311839133501,0
121,-17.115903958678246,0
122,-15.314107179641724,0
123,-14.604377932846546,0
124,-20.182284012436867,0
125,-27.615252450108528,0
126,-16.35221240669489,0
127,-10.015586666762829,0
128,-0.03797238692641258,1
129,-8.519986063241959,0
130,-1.4210177455097437,1
131,-13.979643404483795,0
132,-12.084725938737392,0
133,-20.386470332741737,0
134,-20.02323565632105,0
135,-21.778623562306166,0
136,-18.175370901823044,0
137,-14.424328438937664,0
138,-15.198275424540043,0
139,-20.6461497284472,0
140,-9.315333291888237,0
141,-11.161481156945229,0
142,-0.1119077131152153,1
143,-17.544555634260178,0
144,-8.091994423419237,1
145,-13.465560287237167,0
146,-20.930070281028748,0
